Unnamed: 0,STATE/UT,DISTRICT,Year,Complain,Risk Level
0,ANDHRA PRADESH,ADILABAD,2001,husband hit wife,High
1,ANDHRA PRADESH,ANANTAPUR,2001,wife slapped by husband,Low
2,ANDHRA PRADESH,CHITTOOR,2001,wife threatened with divorce,Medium
3,ANDHRA PRADESH,CUDDAPAH,2001,wife insulted in public,Low
4,ANDHRA PRADESH,EAST GODAVARI,2001,husband pushed wife during argument,Low
5,ANDHRA PRADESH,GUNTAKAL RLY.,2001,wife humiliated in front of family,Medium
6,ANDHRA PRADESH,GUNTUR,2001,partner shouted at wife,Medium
7,ANDHRA PRADESH,HYDERABAD CITY,2001,husband pulled wifes hair,Medium
8,ANDHRA PRADESH,KARIMNAGAR,2001,wife locked inside the room,Medium
9,ANDHRA PRADESH,KHAMMAM,2001,wife denied food by husband,Medium
10,ANDHRA PRADESH,KRISHNA,2001,husband threw objects at wife,Medium
11,ANDHRA PRADESH,KURNOOL,2001,wife forced to hand over salary,Medium
12,ANDHRA PRADESH,MAHABOOBNAGAR,2001,husband accused wife without reason,Medium
13,ANDHRA PRADESH,MEDAK,2001,wife restricted from seeing family,Medium
14,ANDHRA PRADESH,NALGONDA,2001,wife forced to quit job,Medium
15,ANDHRA PRADESH,NELLORE,2001,wife denied healthcare by husband,Medium
16,ANDHRA PRADESH,NIZAMABAD,2001,partner broke wifes phone,Medium
17,ANDHRA PRADESH,PRAKASHAM,2001,husband ignored wifes illness,Medium
18,ANDHRA PRADESH,RANGA REDDY,2001,wife forced into unwanted intimacy,Medium
19,ANDHRA PRADESH,SECUNDERABAD RLY.,2001,husband spread lies about wife,Medium
20,ANDHRA PRADESH,SRIKAKULAM,2001,wife excluded from family decisions,Medium
21,ANDHRA PRADESH,VIJAYAWADA,2001,husband insulted wife daily,Low
22,ANDHRA PRADESH,VIJAYAWADA RLY.,2001,wife threatened with violence,High
23,ANDHRA PRADESH,VISAKHA RURAL,2001,husband destroyed wifes belongings,Medium
24,ANDHRA PRADESH,VISAKHAPATNAM,2001,wife denied rest during pregnancy,Medium
25,ANDHRA PRADESH,VIZIANAGARAM,2001,wife forced to obey husband blindly,Medium
26,ANDHRA PRADESH,WARANGAL,2001,husband controlled wifes movements,Medium
27,ANDHRA PRADESH,WEST GODAVARI,2001,wife silenced during argument,Low
28,ANDHRA PRADESH,TOTAL,2001,husband checked wifes phone,Medium
29,ARUNACHAL PRADESH,CHANGLANG,2001,wife forced to eat less,Medium
30,ARUNACHAL PRADESH,DIBANG VALLEY,2001,partner restricted wifes internet access,Medium
31,ARUNACHAL PRADESH,KAMENG EAST,2001,wife isolated from neighbors,Medium
32,ARUNACHAL PRADESH,KAMENG WEST,2001,husband criticized wifes cooking,Medium
33,ARUNACHAL PRADESH,LOHIT,2001,wife treated like servant,Medium
34,ARUNACHAL PRADESH,PAPUM PARE,2001,husband insulted wifes appearance,Low
35,ARUNACHAL PRADESH,SIANG EAST,2001,wife denied access to money,Medium
36,ARUNACHAL PRADESH,SIANG UPPER,2001,husband forced wife to leave job,Medium
37,ARUNACHAL PRADESH,SIANG WEST,2001,wife accused of cheating without proof,Medium
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,husband insulted wife during family event,Low
39,ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,wife forced to hand over documents,Medium
40,ARUNACHAL PRADESH,TAWANG,2001,husband insulted wifes family,Low
41,ARUNACHAL PRADESH,TIRAP,2001,wife denied privacy,Medium
42,ARUNACHAL PRADESH,TOTAL,2001,husband controlled every purchase,Medium
43,ASSAM,BARPETA,2001,wife locked outside house,Medium
44,ASSAM,BONGAIGAON,2001,husband forced wife to sleep separately,Medium
45,ASSAM,C.I.D.,2001,wife denied visits to parents,Medium
46,ASSAM,CACHAR,2001,husband used alcohol then abused wife,Medium
47,ASSAM,DARRANG,2001,wife treated as inferior,Medium
48,ASSAM,DHEMAJI,2001,husband destroyed wifes clothes,Medium
49,ASSAM,DHUBRI,2001,wife blamed for financial problems,Medium
50,ASSAM,DIBRUGARH,2001,husband restricted wife from driving,Medium
51,ASSAM,G.R.P.,2001,wife ignored during illness,Medium
52,ASSAM,GOALPARA,2001,husband forced intimacy without consent,Medium
53,ASSAM,GOLAGHAT,2001,wife insulted in front of children,Low
54,ASSAM,GUWAHATI CITY,2001,husband ridiculed wife constantly,Medium
55,ASSAM,HAILAKANDI,2001,wife denied phone use,Medium
56,ASSAM,JORHAT,2001,husband monitored wifes calls,Medium
57,ASSAM,KAMRUP,2001,wife restricted from meeting friends,Medium
58,ASSAM,KARBI ANGLONG,2001,husband accused wife of laziness,Medium
59,ASSAM,KARIMGANJ,2001,wife forced to beg for money,Medium
60,ASSAM,KOKRAJHAR,2001,husband threatened wife with weapon,Medium
61,ASSAM,LAKHIMPUR,2001,wife shouted at daily,Medium
62,ASSAM,MORIGAON,2001,husband ignored wife intentionally,Medium
63,ASSAM,N.C.HILLS,2001,wife blamed for everything,Medium
64,ASSAM,NAGAON,2001,husband criticized wifes body,Medium
65,ASSAM,NALBARI,2001,wife threatened to be thrown out,Medium
66,ASSAM,R.P.O.,2001,husband denied wife food,Medium
67,ASSAM,SIBSAGAR,2001,wife controlled financially,Medium
68,ASSAM,SONITPUR,2001,husband forced wife to do hard work,Medium
69,ASSAM,TINSUKIA,2001,wife humiliated for mistakes,Medium
70,ASSAM,TOTAL,2001,husband forced wife to cook while sick,Medium
71,BIHAR,ARARIA,2001,wife denied rest by husband,Medium
72,BIHAR,ARWAL,2001,husband insulted wife in front of others,Low
73,BIHAR,AURANGABAD,2001,wife restricted from social life,Medium
74,BIHAR,BAGAHA,2001,husband checked wifes location,Medium
75,BIHAR,BANKA,2001,wife excluded from celebrations,Medium
76,BIHAR,BEGUSARAI,2001,husband used abusive language,Medium
77,BIHAR,BETTIAH,2001,wife denied basic needs,Medium
78,BIHAR,BHABHUA,2001,husband insulted wifes dress,Low
79,BIHAR,BHAGALPUR,2001,wife blamed for husbands anger,Medium
80,BIHAR,BHOJPUR,2001,husband restricted wifes movements,Medium
81,BIHAR,BUXAR,2001,wife threatened to be abandoned,Medium
82,BIHAR,DARBHANGA,2001,husband accused wife without proof,Medium
83,BIHAR,GAYA,2001,wife forced to obey in silence,Medium
84,BIHAR,GOPALGANJ,2001,husband pushed wife harshly,Low
85,BIHAR,JAMALPUR RLY.,2001,wife forced to live in fear,Medium
86,BIHAR,JAMUI,2001,husband cursed wife daily,Medium
87,BIHAR,JEHANABAD,2001,wife humiliated during argument,Low
88,BIHAR,KATIHAR,2001,husband ignored wifes opinions,Medium
89,BIHAR,KATIHAR RLY.,2001,wife blamed for household problems,Medium
90,BIHAR,KHAGARIA,2001,husband accused wife of disrespect,Medium
91,BIHAR,KISHANGANJ,2001,wife forced to leave family events,Medium
92,BIHAR,LAKHISARAI,2001,husband insulted wife in front of guests,Low
93,BIHAR,MADHEPURA,2001,wife denied right to speak,Medium
94,BIHAR,MADHUBANI,2001,husband forced wife to sign papers,Medium
95,BIHAR,MOTIHARI,2001,wife criticized unfairly,Medium
96,BIHAR,MUNGER,2001,husband made wife beg for money,Medium
97,BIHAR,MUZAFFARPUR,2001,wife denied freedom of speech,Medium
98,BIHAR,MUZAFFARPUR RLY.,2001,husband ignored wifes feelings,Medium
99,BIHAR,NALANDA,2001,wife excluded from financial matters,Medium
100,BIHAR,NAUGACHIA,2001,husband ridiculed wife in public,Medium
101,BIHAR,NAWADAH,2001,wife forced to wake early daily,Medium
102,BIHAR,PATNA,2001,husband insulted wife repeatedly,Low
103,BIHAR,PATNA RLY.,2001,wife denied personal time,Medium
104,BIHAR,PURNEA,2001,husband restricted wifes bank account,Medium
105,BIHAR,ROHTAS,2001,wife silenced by threats,Medium
106,BIHAR,SAHARSA,2001,husband insulted wifes relatives,Low
107,BIHAR,SAMASTIPUR,2001,wife treated without respect,Medium
108,BIHAR,SARAN,2001,husband controlled wifes daily life,Medium
109,BIHAR,SHEIKHPURA,2001,wife humiliated in front of relatives,Medium
110,BIHAR,SHEOHAR,2001,husband destroyed wifes belongings in anger,Medium
111,BIHAR,SITAMARHI,2001,wife forced to accept blame,Medium
112,BIHAR,SIWAN,2001,husband insulted wife in front of neighbors,Low
113,BIHAR,SUPAUL,2001,wife denied her own money,Medium
114,BIHAR,VAISHALI,2001,husband insulted wifes cooking,Low
115,BIHAR,TOTAL,2001,wife controlled through fear,Medium
116,CHHATTISGARH,BALRAMPUR,2001,husband restricted wifes outings,Medium
117,CHHATTISGARH,BILASPUR,2001,wife denied right to study,Medium
118,CHHATTISGARH,BIZAPUR,2001,husband accused wife of betrayal,Medium
119,CHHATTISGARH,DANTEWARA,2001,wife insulted in front of friends,Low
120,CHHATTISGARH,DHAMTARI,2001,husband insulted wife during gatherings,Low
121,CHHATTISGARH,DURG,2001,wife forced to remain silent,Medium
122,CHHATTISGARH,GRP RAIPUR,2001,husband threatened wife with divorce constantly,Medium
123,CHHATTISGARH,JAGDALPUR,2001,wife denied her salary,Medium
124,CHHATTISGARH,JANJGIR,2001,husband ignored wife during pregnancy,Medium
125,CHHATTISGARH,JASHPUR,2001,wife forced to stay at home,Medium
126,CHHATTISGARH,KANKER,2001,husband insulted wifes body shape,Low
127,CHHATTISGARH,KAWARDHA,2001,wife accused without reason daily,Medium
128,CHHATTISGARH,KORBA,2001,husband forced wife to obey commands,Medium
129,CHHATTISGARH,KORIYA,2001,wife humiliated in public events,Medium
130,CHHATTISGARH,MAHASAMUND,2001,husband shouted at wife daily,Medium
131,CHHATTISGARH,RAIGARH,2001,wife denied access to health care,Medium
132,CHHATTISGARH,RAIPUR,2001,husband criticized wife harshly,Medium
133,CHHATTISGARH,RAJNANDGAON,2001,wife blamed for husbands failures,Medium
134,CHHATTISGARH,SARGUJA,2001,husband insulted wife in social media,Low
135,CHHATTISGARH,TOTAL,2001,wife forced to give up work,Medium
136,GOA,NORTH GOA,2001,husband denied wifes needs,Medium
137,GOA,SOUTH GOA,2001,wife threatened with separation,Medium
138,GOA,TOTAL,2001,husband insulted wife during arguments,Low
139,GUJARAT,AHMEDABAD COMMR.,2001,wife silenced by force,Medium
140,GUJARAT,AHMEDABAD RURAL,2001,husband insulted wife repeatedly in front of family,Low
141,GUJARAT,AHWA-DANG,2001,wife denied any support,Medium
142,GUJARAT,AMRELI,2001,husband controlled wifes conversations,Medium
143,GUJARAT,ANAND,2001,wife forced to follow orders,Medium
144,GUJARAT,BHARUCH,2001,husband insulted wife in front of children,Low
145,GUJARAT,BHAVNAGAR,2001,wife excluded from family outings,Medium
146,GUJARAT,DAHOD,2001,husband denied wife medical help,Medium
147,GUJARAT,GANDHINAGAR,2001,wife forced into silence by threats,Medium
148,GUJARAT,HIMATNAGAR,2001,husband ridiculed wifes intelligence,Medium
149,GUJARAT,JAMNAGAR,2001,wife treated like property,Medium
150,GUJARAT,JUNAGADH,2001,husband insulted wife regularly,Low
151,GUJARAT,KHEDA NORTH,2001,wife forced to give money daily,Medium
152,GUJARAT,KUTCH,2001,husband ignored wifes emotions,Medium
153,GUJARAT,MEHSANA,2001,wife denied her opinion in decisions,Medium
154,GUJARAT,NARMADA,2001,husband humiliated wife in front of guests,Medium
155,GUJARAT,NAVSARI,2001,wife excluded from home decisions,Medium
156,GUJARAT,PALANPUR,2001,husband insulted wifes education,Low
157,GUJARAT,PANCHMAHAL,2001,wife denied freedom of movement,Medium
158,GUJARAT,PATAN,2001,husband insulted wife during celebrations,Low
159,GUJARAT,PORBANDAR,2001,wife forced to accept insults,Medium
160,GUJARAT,RAJKOT COMMR.,2001,husband insulted wife during meals,Low
161,GUJARAT,RAJKOT RURAL,2001,wife excluded from holidays,Medium
162,GUJARAT,SURAT COMMR.,2001,husband insulted wifes work,Low
163,GUJARAT,SURAT RURAL,2001,wife treated with constant disrespect,Medium
164,GUJARAT,SURENDRANAGAR,2001,husband insulted wife when angry,Low
165,GUJARAT,VADODARA COMMR.,2001,wife denied rest and peace,Medium
166,GUJARAT,VADODARA RURAL,2001,husband insulted wife without reason,Low
167,GUJARAT,VALSAD,2001,wife excluded from social gatherings,Medium
168,GUJARAT,W.RLY,2001,husband ridiculed wifes efforts,Medium
169,GUJARAT,TOTAL,2001,wife insulted for mistakes,Low
170,HARYANA,AMBALA,2001,husband insulted wife when drinking,Low
171,HARYANA,BHIWANI,2001,wife denied comfort at home,Medium
172,HARYANA,FARIDABAD,2001,husband insulted wife in community,Low
173,HARYANA,FATEHABAD,2001,wife excluded from choices,Medium
174,HARYANA,GRP,2001,husband insulted wifes dress daily,Low
175,HARYANA,GURGAON,2001,wife insulted during arguments,Low
176,HARYANA,HISSAR,2001,husband insulted wifes opinions,Low
177,HARYANA,JHAJJAR,2001,wife treated like a burden,Medium
178,HARYANA,JIND,2001,husband insulted wife in front of friends,Low
179,HARYANA,KAITHAL,2001,wife denied happiness,Medium
180,HARYANA,KARNAL,2001,husband insulted wife publicly,Low
181,HARYANA,KURUKSHETRA,2001,wife insulted during celebrations,Low
182,HARYANA,MAHENDRAGARH,2001,husband insulted wife constantly,Low
183,HARYANA,PANCHKULA,2001,wife excluded from important matters,Medium
184,HARYANA,PANIPAT,2001,husband insulted wife with harsh words,Low
185,HARYANA,REWARI,2001,wife insulted daily,Low
186,HARYANA,ROHTAK,2001,husband insulted wife over small issues,Low
187,HARYANA,SIRSA,2001,wife insulted in private,Low
188,HARYANA,SONIPAT,2001,husband insulted wife in gatherings,Low
189,HARYANA,YAMUNANAGAR,2001,wife insulted repeatedly,Low
190,HARYANA,TOTAL,2001,husband insulted wife at home,Low
191,HIMACHAL PRADESH,BILASPUR,2001,wife insulted unfairly,Low
192,HIMACHAL PRADESH,CHAMBA,2001,husband insulted wife cruelly,Low
193,HIMACHAL PRADESH,G.R.P.,2001,wife insulted harshly,Low
194,HIMACHAL PRADESH,HAMIRPUR,2001,husband insulted wife again and again,Low
195,HIMACHAL PRADESH,KANGRA,2001,wife insulted continuously,Low
196,HIMACHAL PRADESH,KINNAUR,2001,husband insulted wife endlessly,Low
197,HIMACHAL PRADESH,KULLU,2001,husband shouted at wife without reason,Medium
